as_of_date,target_date,instrument,instrument_type,component,feature,feature_value,threshold,mode,hold_days,side,target_weight,target_notional,target_shares,previous_close,lower_25bps,upper_25bps,entry_date,estimated_liquidate_date,signal_date,market_hedge,sector_hedge,reason,excluded_live,exclusion_reason,market_beta,sector_beta,current_shares,current_weight,current_notional,trade_weight,trade_notional,trade_shares,rounded_target_shares,rounded_trade_shares,action,below_trade_buffer,manual_price_note,ib_symbol,contract_error,con_id,primary_exchange,long_name,industry,category,subcategory,min_tick,valid_exchanges,market_rule_ids,bid,ask,last,close,ib_mid,spread_bps,shortable,shortable_shares,ib_review_decision,ib_review_reason
2026-06-18,2026-06-19,ASH,stock,chemical,carry,-0.1394,0.02,sign,,-1.0,-0.019,-281.25,-4.9,57.46,57.32,57.6,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,1.2,0.2,0.0,0.0,0.0,-0.019,-281.25,-4.9,-5.0,-5.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,ASH,False,247915706,NYSE,ASHLAND INC,Basic Materials,Chemicals,Chemicals-Specialty,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,,,,,,,manual_review,no_live_price|shortability_missing
2026-06-18,2026-06-19,ATI,stock,metals,calendar_dec_annualized_carry,-0.122594966529,0.015,fixed_hold,21.0,1.0,0.025,375.0,2.1,180.14,179.69,180.59,2026-06-09,2026-07-08,2026-06-08,SPY,XME,fixed_hold active from 2026-06-09 to before 2026-07-08,False,,1.1,0.3,0.0,0.0,0.0,0.025,375.0,2.1,2.0,2.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,ATI,False,1946967,NYSE,ATI INC,Industrial,Aerospace/Defense,Aerospace/Defense-Equip,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,201.34,196.86,201.34,,,2453979.0,ok,
2026-06-18,2026-06-19,AVNT,stock,chemical,carry,-0.1394,0.02,sign,,-1.0,-0.019,-281.25,-8.2,34.49,34.4,34.58,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,1.1,0.0,0.0,0.0,0.0,-0.019,-281.25,-8.2,-8.0,-8.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,AVNT,False,431102494,NYSE,AVIENT CORP,Industrial,Miscellaneous Manufactur,Advanced Materials/Prd,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,37.66,36.58,37.66,,,1437746.0,ok,
2026-06-18,2026-06-19,CASY,stock,fuel,front_third_spread,0.0242777702428,0.01,fixed_hold,10.0,1.0,0.038,562.5,0.7,842.25,840.14,844.36,2026-06-18,2026-07-02,2026-06-17,SPY,,fixed_hold active from 2026-06-18 to before 2026-07-02,False,,0.4,0.0,0.0,0.0,0.0,0.038,562.5,0.7,1.0,1.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,CASY,False,267265,NASDAQ,CASEY'S GENERAL STORES INC,"Consumer, Cyclical",Retail,Retail-Convenience Store,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563",,,845.0,850.85,845.0,,,247458.0,ok,
2026-06-18,2026-06-19,CE,stock,chemical,carry,-0.1394,0.02,sign,,-1.0,-0.019,-281.25,-5.7,49.08,48.96,49.2,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,1.0,1.0,0.0,0.0,0.0,-0.019,-281.25,-5.7,-6.0,-6.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,CE,False,32943358,NYSE,CELANESE CORP,Basic Materials,Chemicals,Chemicals-Diversified,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,51.16,51.23,51.16,,,1820894.0,ok,
2026-06-18,2026-06-19,CRS,stock,metals,calendar_dec_annualized_carry,-0.122594966529,0.015,fixed_hold,21.0,1.0,0.025,375.0,0.8,499.09,497.84,500.34,2026-06-09,2026-07-08,2026-06-08,SPY,XME,fixed_hold active from 2026-06-09 to before 2026-07-08,False,,0.9,0.3,0.0,0.0,0.0,0.025,375.0,0.8,1.0,1.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,CRS,False,6077,NYSE,CARPENTER TECHNOLOGY,Basic Materials,Iron/Steel,Steel-Specialty,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563",,,585.04,575.47,585.04,,,763278.0,ok,
2026-06-18,2026-06-19,DHT,stock,shipping,calendar_dec_annualized_carry,-0.122594966529,0.01,fixed_hold,10.0,1.0,0.035,525.0,31.9,16.44,16.4,16.48,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,0.2,0.1,0.0,0.0,0.0,0.035,525.0,31.9,32.0,32.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,DHT,False,110322264,NYSE,DHT HOLDINGS INC,Industrial,Transportation,Transport-Marine,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,18.78,18.11,18.78,,,5502260.0,ok,
2026-06-18,2026-06-19,DOW,stock,chemical,carry,-0.1394,0.02,sign,,-1.0,-0.019,-281.25,-8.2,34.2,34.11,34.29,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,0.6,1.2,0.0,0.0,0.0,-0.019,-281.25,-8.2,-8.0,-8.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,DOW,False,356576040,NYSE,DOW INC,Basic Materials,Chemicals,Chemicals-Diversified,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,31.68,32.5,31.68,,,14548688.0,ok,
2026-06-18,2026-06-19,EMN,stock,chemical,carry,-0.1394,0.02,sign,,-1.0,-0.019,-281.25,-3.9,71.67,71.49,71.85,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,1.3,0.4,0.0,0.0,0.0,-0.019,-281.25,-3.9,-4.0,-4.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,EMN,False,6832,NYSE,EASTMAN CHEMICAL CO,Basic Materials,Chemicals,Chemicals-Diversified,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,72.49,72.12,72.49,,,982247.0,ok,
2026-06-18,2026-06-19,ERO,stock,bwt,brent_wti_carry_spread,0.0429,0.02,sign,,-1.0,-0.017,-250.0,-9.3,26.9,26.83,26.97,2026-06-19,,2026-06-18,SPY,XME,continuous sign active,False,,0.5,1.0,0.0,0.0,0.0,-0.017,-250.0,-9.3,-9.0,-9.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,ERO,False,491932200,NYSE,ERO COPPER CORP,Basic Materials,Mining,Metal-Copper,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,29.43,30.43,29.43,,,3163299.0,ok,
2026-06-18,2026-06-19,FRO,stock,shipping,calendar_dec_annualized_carry,-0.122594966529,0.01,fixed_hold,10.0,1.0,0.035,525.0,15.0,35.01,34.92,35.1,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,0.2,0.2,0.0,0.0,0.0,0.035,525.0,15.0,15.0,15.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,FRO,False,604736961,NYSE,FRONTLINE PLC,Industrial,Transportation,Transport-Marine,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,41.0,38.85,41.0,,,2300511.0,ok,
2026-06-18,2026-06-19,FTI,stock,services,carry_chg_21d,0.4533,0.01,sign,,-1.0,-0.105,-1575.0,-22.9,68.75,68.58,68.92,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,0.6,0.8,0.0,0.0,0.0,-0.105,-1575.0,-22.9,-23.0,-23.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,FTI,False,262072228,NYSE,TECHNIPFMC PLC,Energy,Oil&Gas Services,Oil-Field Services,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,65.17,67.01,65.17,,,4976970.0,ok,
2026-06-18,2026-06-19,HUN,stock,chemical,carry,-0.1394,0.02,sign,,-1.0,-0.019,-281.25,-19.8,14.23,14.19,14.27,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,1.7,0.6,0.0,0.0,0.0,-0.019,-281.25,-19.8,-20.0,-20.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,HUN,False,33175911,NYSE,HUNTSMAN CORP,Basic Materials,Chemicals,Chemicals-Diversified,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,12.13,12.73,12.13,,,6722868.0,ok,
2026-06-18,2026-06-19,INSW,stock,shipping,calendar_dec_annualized_carry,-0.122594966529,0.01,fixed_hold,10.0,1.0,0.035,525.0,6.4,81.42,81.22,81.62,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,0.3,0.3,0.0,0.0,0.0,0.035,525.0,6.4,6.0,6.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,INSW,False,254791638,NYSE,INTERNATIONAL SEAWAYS INC,Industrial,Transportation,Transport-Marine,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,84.39,81.45,84.39,,,506804.0,ok,
2026-06-18,2026-06-19,LYB,stock,chemical,carry,-0.1394,0.02,sign,,-1.0,-0.019,-281.25,-4.4,64.43,64.27,64.59,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,0.2,1.2,0.0,0.0,0.0,-0.019,-281.25,-4.4,-4.0,-4.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,LYB,False,74866700,NYSE,LYONDELLBASELL INDU-CL A,Basic Materials,Chemicals,Chemicals-Diversified,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,60.2,61.81,60.2,,,4632813.0,ok,
2026-06-18,2026-06-19,MUSA,stock,fuel,front_third_spread,0.0242777702428,0.01,fixed_hold,10.0,1.0,0.038,562.5,1.0,551.26,549.88,552.64,2026-06-18,2026-07-02,2026-06-17,SPY,,fixed_hold active from 2026-06-18 to before 2026-07-02,False,,-0.2,0.0,0.0,0.0,0.0,0.038,562.5,1.0,1.0,1.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,MUSA,False,132717465,NYSE,MURPHY USA INC,"Consumer, Cyclical",Retail,Retail-Petroleum Prod,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563",,,551.26,571.87,551.26,,,194630.0,ok,
2026-06-18,2026-06-19,NEXA,stock,bwt,brent_wti_carry_spread,0.0429,0.02,sign,,-1.0,-0.017,-250.0,-18.2,13.73,13.7,13.76,2026-06-19,,2026-06-18,SPY,XME,continuous sign active,False,,0.8,0.7,0.0,0.0,0.0,-0.017,-250.0,-18.2,-18.0,-18.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,NEXA,False,293795910,NYSE,NEXA RESOURCES SA,Basic Materials,Mining,Non-Ferrous Metals,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,13.81,14.34,13.81,,,1941654.0,ok,
2026-06-18,2026-06-19,OII,stock,services,carry_chg_21d,0.4533,0.01,sign,,-1.0,-0.07,-1050.0,-26.8,39.19,39.09,39.29,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,1.2,1.0,0.0,0.0,0.0,-0.07,-1050.0,-26.8,-27.0,-27.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,OII,False,10780,NYSE,OCEANEERING INTL INC,Energy,Oil&Gas Services,Oil-Field Services,0.0001,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557",,,35.455,35.5,35.455,,,1665226.0,ok,
2026-06-18,2026-06-19,STNG,stock,shipping,calendar_dec_annualized_carry,-0.122594966529,0.01,fixed_hold,10.0,1.0,0.035,525.0,6.9,76.12,75.93,76.31,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,0.1,0.3,0.0,0.0,0.0,0.035,525.0,6.9,7.0,7.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,STNG,False,349869083,NYSE,SCORPIO TANKERS INC,Industrial,Transportation,Transport-Marine,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,80.58,78.04,80.58,,,1645816.0,ok,
2026-06-18,2026-06-19,TECK,stock,bwt,brent_wti_carry_spread,0.0429,0.02,sign,,-1.0,-0.017,-250.0,-4.0,62.09,61.93,62.25,2026-06-19,,2026-06-18,SPY,XME,continuous sign active,False,,0.9,0.7,0.0,0.0,0.0,-0.017,-250.0,-4.0,-4.0,-4.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,TECK,False,39921623,NYSE,TECK RESOURCES LTD-CLS B,Basic Materials,Mining,Metal-Diversified,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,64.36,65.76,64.36,,,6378803.0,ok,
2026-06-18,2026-06-19,TNK,stock,shipping,calendar_dec_annualized_carry,-0.122594966529,0.01,fixed_hold,10.0,1.0,0.035,525.0,7.3,71.66,71.48,71.84,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,0.3,0.2,0.0,0.0,0.0,0.035,525.0,7.3,7.0,7.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,TNK,False,732027252,NYSE,TEEKAY TANKERS LTD-CLASS A,Industrial,Transportation,Transport-Marine,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,74.45,73.93,74.45,,,707899.0,ok,
2026-06-18,2026-06-19,WLK,stock,chemical,carry,-0.1394,0.02,sign,,-1.0,-0.019,-281.25,-3.3,85.26,85.05,85.47,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,1.0,0.8,0.0,0.0,0.0,-0.019,-281.25,-3.3,-3.0,-3.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,WLK,False,30351217,NYSE,WESTLAKE CORP,Basic Materials,Chemicals,Chemicals-Diversified,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,80.28,83.48,80.28,,,431002.0,ok,
2026-06-18,2026-06-19,SPY,hedge,hedge,,,,beta_hedge,,1.0,0.242,3623.6,4.9,739.22,737.37,741.07,2026-06-19,,2026-06-18,,,explicit beta hedge,,,,,0.0,0.0,0.0,0.242,3623.6,4.9,5.0,5.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,SPY,False,756733,ARCA,SS SPDR S&P 500 ETF TRUST-US,,,,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563",,,746.94,739.06,746.94,,,3658079.0,ok,
2026-06-18,2026-06-19,XLE,hedge,hedge,,,,beta_hedge,,1.0,0.218,3263.57,56.0,58.33,58.18,58.48,2026-06-19,,2026-06-18,,,explicit beta hedge,,,,,0.0,0.0,0.0,0.218,3263.57,56.0,56.0,56.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,XLE,False,4215217,ARCA,SS ENERGY SELECT SECTOR,,,,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,53.85,54.67,53.85,,,,ok,
2026-06-18,2026-06-19,XME,hedge,hedge,,,,beta_hedge,,1.0,0.025,378.67,3.2,118.59,118.29,118.89,2026-06-19,,2026-06-18,,,explicit beta hedge,,,,,0.0,0.0,0.0,0.025,378.67,3.2,3.0,3.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,XME,False,45540699,ARCA,SS SPDR S&P METALS MINING,,,,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,117.0,118.39,117.0,,,429511.0,ok,
